Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Goals
20,10,8,5,10,0,0,1,0,0,0,0,0,0,110,0,0,0,0,1,0,0,0,0,2
20,10,16,9,22,9,13,22,6,3,4,2,10,10,37,18,0,0,0,1,0,0,0,0,0
20,10,13,9,16,6,7,16,0,2,1,3,5,8,18,37,0,0,0,1,0,0,0,0,0
20,10,10,11,18,29,37,57,28,10,7,12,34,41,51,29,0,0,0,1,0,0,0,0,3
19,10,18,6,10,33,43,83,15,12,7,14,45,43,14,27,0,1,0,0,0,0,0,0,5
19,10,14,15,16,10,6,22,6,1,3,6,5,13,27,27,0,1,0,0,0,0,0,0,2
19,10,18,5,10,34,44,83,15,13,5,16,42,47,41,27,0,1,0,0,0,0,0,0,4
18,10,23,13,20,14,17,29,8,4,5,5,14,16,25,25,0,0,0,0,0,1,0,0,0
18,10,11,10,16,8,9,17,2,2,3,3,7,11,0,66,0,0,0,0,0,1,0,0,0
17,10,18,10,12,9,8,24,7,2,2,5,6,11,33,11,0,0,0,0,0,0,0,1,1
15,10,18,8,20,4,7,13,1,2,1,1,4,4,55,33,0,0,1,0,0,0,0,0,0
14,10,14,18,20,28,29,56,17,8,5,15,27,49,25,25,0,0,0,0,1,0,0,0,1
12,10,18,3,10,33,56,80,15,16,8,9,53,24,41,14,0,1,0,0,0,0,0,0,1
12,10,18,9,10,33,27,80,15,7,6,20,24,64,14,14,0,1,0,0,0,0,0,0,0
10,10,15,2,16,7,16,22,6,5,1,1,13,6,55,18,0,0,0,0,0,0,0,1,1
2,10,19,19,24,10,10,20,5,3,1,6,7,18,24,47,0,0,0,0,0,0,1,0,1
2,10,18,1,24,10,25,25,3,8,1,1,20,7,85,13,0,0,0,0,0,0,1,0,0
2,10,18,4,24,10,18,25,3,5,3,2,12,9,42,34,0,0,0,0,0,0,1,0,0
1,10,17,13,14,4,3,13,3,0,3,1,2,3,14,27,0,0,1,0,0,0,0,0,0
31,10,17,8,12,7,6,19,3,2,0,5,4,10,18,0,0,0,0,0,0,0,0,1,0
31,10,13,1,12,31,71,71,30,22,5,4,59,20,88,11,0,0,0,0,0,0,0,1,1
31,10,19,10,12,9,5,25,3,1,2,6,8,15,33,33,0,0,0,0,0,0,0,1,2
31,10,19,7,12,10,14,25,3,4,2,4,10,18,30,30,0,0,0,0,0,0,0,1,1
31,10,15,4,16,25,50,63,16,14,8,3,32,17,71,31,0,0,0,0,0,0,0,1,0
31,10,13,2,16,25,53,63,16,16,5,4,41,16,63,31,0,0,0,0,0,0,0,1,1
30,10,8,9,18,27,37,50,27,9,10,8,42,42,48,27,0,0,0,0,0,0,1,0,0
30,10,10,13,18,29,36,60,29,9,9,11,34,38,51,34,0,0,0,0,0,0,1,0,0
30,10,0,3,26,8,18,23,6,5,3,0,10,4,18,55,0,0,0,0,0,0,1,0,1
29,10,18,11,20,12,17,26,8,4,5,3,18,16,13,61,0,0,1,0,0,0,0,0,2
28,10,17,9,12,13,15,34,7,4,3,6,16,20,22,33,0,0,0,0,1,0,0,0,1
28,10,17,5,10,14,18,30,12,5,3,6,21,22,37,13,0,0,0,0,1,0,0,0,2
28,10,23,12,26,9,13,23,6,3,4,2,15,12,49,37,0,0,0,0,1,0,0,0,2
28,10,17,4,16,27,47,57,19,14,5,8,40,30,47,31,0,0,0,0,1,0,0,0,1
28,10,16,3,8,26,54,60,5,16,6,4,48,20,73,0,0,0,0,0,1,0,0,0,0
28,10,15,3,10,12,18,31,10,5,3,4,24,18,25,13,0,0,0,0,1,0,0,0,1
28,10,22,5,12,15,24,27,8,6,6,3,19,14,77,22,0,0,0,0,1,0,0,0,0
28,10,18,1,14,7,17,17,5,5,2,0,15,3,73,0,0,0,0,0,1,0,0,0,3
28,10,16,9,12,12,14,33,7,4,2,6,14,12,33,33,0,0,0,0,1,0,0,0,1
28,10,20,23,23,33,21,69,21,4,9,20,48,69,11,31,0,0,0,0,1,0,0,0,1
28,10,20,5,23,33,57,69,21,16,9,8,51,42,49,27,0,0,0,0,1,0,0,0,1
28,10,8,7,10,1,1,4,0,0,1,0,1,1,82,0,0,0,0,0,1,0,0,0,3
28,10,17,14,16,7,4,19,0,1,1,5,6,10,0,0,0,0,0,0,1,0,0,0,1
28,10,0,14,20,30,35,65,17,8,11,11,29,40,18,42,0,0,0,0,1,0,0,0,1
27,10,14,6,18,7,11,18,4,3,2,2,14,11,37,0,0,0,0,1,0,0,0,0,2
27,10,16,8,16,27,37,54,19,10,7,10,36,42,24,39,0,0,0,1,0,0,0,0,0
27,10,14,3,12,7,17,22,3,5,2,0,32,4,69,27,0,0,0,1,0,0,0,0,1
27,10,17,17,18,6,5,15,4,1,2,3,6,10,30,30,0,0,0,1,0,0,0,0,2
27,10,15,8,8,10,6,18,6,1,3,6,10,16,18,55,0,0,0,1,0,0,0,0,2
27,10,13,4,16,8,16,23,3,4,4,0,8,2,47,47,0,0,0,1,0,0,0,0,1
27,10,17,4,14,8,11,17,6,2,5,1,9,5,69,14,0,0,0,1,0,0,0,0,5
27,10,16,7,22,11,15,22,6,4,3,4,12,9,13,37,0,0,0,1,0,0,0,0,0
27,10,12,3,12,32,55,75,21,16,7,9,54,36,33,33,0,0,0,1,0,0,0,0,2
27,10,12,5,12,32,49,75,21,14,7,11,45,40,33,22,0,0,0,1,0,0,0,0,0
27,10,6,1,10,1,3,3,0,1,0,0,2,1,110,0,0,0,0,1,0,0,0,0,1
27,10,23,10,26,10,14,20,4,4,2,4,7,7,77,11,0,0,0,1,0,0,0,0,3
26,10,16,4,16,12,24,30,9,7,3,2,19,9,47,24,0,1,0,0,0,0,0,0,1
26,10,18,3,10,36,62,87,18,18,8,10,57,27,25,13,0,1,0,0,0,0,0,0,0
26,10,17,1,18,15,36,36,9,11,3,1,31,12,68,37,0,1,0,0,0,0,0,0,3
26,10,18,7,20,10,17,23,5,5,2,3,15,12,37,29,0,1,0,0,0,0,0,0,0
26,10,18,8,20,11,17,27,4,5,2,4,13,13,37,9,0,1,0,0,0,0,0,0,3
26,10,23,17,20,16,13,32,8,3,4,9,9,18,30,25,0,1,0,0,0,0,0,0,1
25,10,14,12,12,9,3,19,3,1,0,8,7,22,31,0,0,0,0,0,0,1,0,0,1
25,10,12,7,16,7,12,20,3,3,3,1,7,3,31,31,0,0,0,0,0,1,0,0,1
25,10,0,2,14,15,31,32,10,10,1,4,35,16,82,9,0,0,0,0,0,1,0,0,1
24,10,18,13,16,9,10,19,4,2,4,3,13,16,24,24,0,0,0,0,0,0,0,1,2
24,10,17,7,16,10,13,17,3,3,4,3,6,6,25,37,0,0,0,0,0,0,0,1,1
23,10,17,3,16,26,49,54,15,16,1,9,57,40,71,8,0,0,0,0,0,0,1,0,3
23,10,11,8,18,26,37,47,27,9,10,7,41,40,41,35,0,0,0,0,0,0,1,0,1
23,10,18,13,24,15,20,34,10,5,5,5,21,14,48,27,0,0,0,0,0,0,1,0,0
23,10,18,11,24,13,19,25,9,5,4,4,20,20,51,7,0,0,0,0,0,0,1,0,0
23,10,18,8,24,13,20,25,9,6,2,5,15,16,55,0,0,0,0,0,0,0,1,0,1
23,10,18,13,24,13,18,25,9,4,6,3,21,20,55,24,0,0,0,0,0,0,1,0,1
22,10,17,7,14,7,10,19,1,3,1,3,9,7,44,44,0,0,1,0,0,0,0,0,0
22,10,1,9,20,16,24,32,8,6,6,4,22,18,39,33,0,0,1,0,0,0,0,0,2
22,10,18,9,12,7,7,18,4,2,1,4,14,12,31,16,0,0,1,0,0,0,0,0,5
22,10,18,14,14,6,4,17,4,1,1,4,7,13,47,31,0,0,1,0,0,0,0,0,2
22,10,17,12,16,26,29,58,21,8,5,13,39,51,24,31,0,0,1,0,0,0,0,0,2
21,10,12,10,10,13,9,30,9,1,6,6,6,16,49,25,0,0,0,0,1,0,0,0,1
21,10,23,10,20,16,23,32,8,6,5,5,14,14,42,25,0,0,0,0,1,0,0,0,0
21,10,22,12,12,15,14,35,14,3,5,7,17,24,22,33,0,0,0,0,1,0,0,0,2
21,10,21,22,23,33,28,69,21,7,7,19,34,62,11,31,0,0,0,0,1,0,0,0,0
21,10,11,7,12,32,40,75,21,9,13,10,29,36,44,44,0,0,0,0,1,0,0,0,1
21,10,15,6,12,11,14,31,9,3,5,3,15,16,88,0,0,0,0,0,1,0,0,0,1
21,10,16,2,12,5,15,15,1,5,0,0,11,1,37,37,0,0,0,0,1,0,0,0,0
21,10,15,7,16,25,40,59,14,11,7,7,43,28,31,31,0,0,0,0,1,0,0,0,0
21,10,19,6,20,30,47,62,17,13,8,9,47,34,42,37,0,0,0,0,1,0,0,0,0
21,10,11,1,16,25,58,58,21,18,4,3,64,23,63,24,0,0,0,0,1,0,0,0,0
21,10,10,4,14,13,19,28,9,5,4,4,13,18,17,59,0,0,0,0,1,0,0,0,1
20,10,18,6,16,11,17,29,5,4,5,2,15,12,25,25,0,0,0,1,0,0,0,0,1
20,10,14,20,24,12,10,25,8,2,4,6,13,19,16,39,0,0,0,1,0,0,0,0,1
20,10,14,11,24,12,17,25,8,4,5,3,12,9,49,25,0,0,0,1,0,0,0,0,0
