Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Goals
6,5,18,1,20,38,93,93,20,28,9,1,99,29,70,24,1,0,0,0,1,0,0,0,2
2,6,19,5,22,42,67,76,32,19,10,13,69,55,38,-11,1,0,0,1,0,0,0,0,2
20,5,15,16,20,38,43,93,20,10,13,15,41,49,37,18,1,0,0,0,1,0,0,0,0
6,5,14,2,20,38,79,93,20,23,10,5,58,22,61,42,1,0,0,0,1,0,0,0,0
5,5,14,16,20,38,43,93,20,10,13,15,41,49,18,55,1,0,0,1,0,0,0,0,2
2,6,19,12,22,42,55,76,32,15,10,17,39,48,38,38,1,0,0,1,0,0,0,0,1
19,5,12,13,20,38,49,93,20,13,10,15,59,60,42,17,1,0,0,1,0,0,0,0,4
13,5,19,15,20,38,46,93,20,11,13,14,44,58,37,30,1,0,0,0,1,0,0,0,5
12,5,17,6,20,38,60,93,20,18,6,14,60,61,61,37,1,0,0,1,0,0,0,0,2
5,5,18,5,20,38,61,93,20,18,7,13,57,50,68,8,1,0,0,1,0,0,0,0,1
27,5,19,3,22,42,71,76,32,20,11,11,57,44,49,16,1,0,0,0,1,0,0,0,3
5,5,16,3,22,42,71,76,32,20,11,11,57,44,27,44,1,0,0,1,0,0,0,0,2
18,8,17,19,20,0,0,3,0,0,0,0,0,0,30,37,1,0,0,1,0,0,0,0,1
20,8,19,14,20,0,0,3,0,0,0,0,0,0,61,16,1,0,1,0,0,0,0,0,1
19,8,21,15,20,0,0,3,0,0,0,0,0,0,55,13,1,0,0,0,1,0,0,0,2
18,8,19,9,20,0,0,3,0,0,0,0,0,0,42,18,1,0,0,1,0,0,0,0,1
31,8,21,19,20,2,0,6,0,0,0,2,1,4,25,42,1,1,0,0,0,0,0,0,2
24,8,19,17,20,1,0,3,0,0,0,1,0,2,30,42,1,1,0,0,0,0,0,0,2
18,8,21,3,22,1,3,3,0,1,0,0,1,0,22,38,1,0,0,1,0,0,0,0,3
15,9,12,10,20,3,4,9,1,1,1,1,2,3,68,37,1,0,0,1,0,0,0,0,1
22,9,19,2,20,5,11,12,1,3,2,0,11,3,71,39,1,0,0,1,0,0,0,0,1
15,9,15,4,20,4,7,9,1,2,1,1,6,5,37,30,1,0,0,1,0,0,0,0,1
26,9,21,9,20,5,7,13,1,2,1,2,10,6,39,33,1,0,0,0,0,0,0,1,3
15,9,19,4,20,3,5,12,1,1,2,0,4,3,18,55,1,0,0,1,0,0,0,0,1
29,9,15,1,20,6,13,13,4,4,1,1,17,7,80,18,1,0,0,1,0,0,0,0,1
1,9,19,1,20,2,6,6,0,2,0,0,6,1,55,13,1,0,0,1,0,0,0,0,4
16,9,19,8,20,3,4,12,1,1,1,1,4,2,61,37,1,0,0,0,1,0,0,0,0
1,9,17,7,20,2,4,6,0,1,1,0,3,2,68,42,1,0,0,1,0,0,0,0,2
30,9,18,9,20,6,9,14,4,2,3,1,4,5,55,27,1,0,0,0,1,0,0,0,1
24,9,20,10,22,5,8,15,3,2,2,1,5,4,73,0,1,0,1,0,0,0,0,0,2
23,9,15,15,20,4,4,13,1,1,1,2,2,3,66,22,1,0,0,0,1,0,0,0,0
15,9,17,17,20,3,2,9,1,0,2,1,3,5,55,18,1,0,0,1,0,0,0,0,0
29,9,17,13,20,6,7,13,4,2,1,3,5,7,29,29,1,0,0,1,0,0,0,0,1
26,9,21,15,20,6,5,13,3,0,5,1,4,6,26,42,1,0,0,0,0,0,0,1,1
26,9,19,14,20,5,6,13,3,1,3,1,7,9,51,26,1,0,0,0,0,0,0,1,0
28,9,20,17,20,6,5,13,4,1,2,3,7,14,11,33,1,1,0,0,0,0,0,0,2
27,9,19,14,20,6,6,13,4,1,3,2,5,6,0,66,1,0,0,0,0,1,0,0,2
23,9,11,13,20,4,4,12,2,1,1,2,6,5,59,15,1,0,0,0,1,0,0,0,2
2,9,19,18,20,2,1,9,0,0,1,1,0,3,68,15,1,0,0,0,1,0,0,0,1
23,9,19,12,20,4,5,13,1,1,2,1,1,3,24,24,1,0,0,0,1,0,0,0,2
2,9,11,12,20,2,3,9,0,1,0,1,4,2,55,13,1,0,0,0,1,0,0,0,2
28,9,20,1,22,7,15,15,3,4,3,0,13,6,19,58,1,1,0,0,0,0,0,0,2
16,9,15,9,20,3,4,12,1,1,1,1,4,3,48,20,1,0,0,0,1,0,0,0,1
29,9,12,10,20,6,8,13,4,2,2,2,9,9,63,24,1,0,0,1,0,0,0,0,0
25,9,19,8,20,5,7,13,1,2,1,2,5,4,31,55,1,0,0,0,0,0,1,0,1
1,9,18,5,22,3,5,7,0,1,2,0,2,1,47,37,1,0,0,1,0,0,0,0,1
29,9,19,13,22,7,7,15,3,1,4,2,6,7,26,51,1,0,0,1,0,0,0,0,1
3,1,21,4,20,16,29,37,8,9,2,5,24,19,63,8,0,0,0,0,0,1,0,0,2
13,1,18,16,20,19,22,43,11,5,7,7,21,27,35,41,0,0,0,0,1,0,0,0,0
6,1,20,1,20,17,37,37,11,11,4,2,48,19,62,27,0,0,0,0,1,0,0,0,2
19,1,16,3,20,19,33,43,11,9,6,4,31,20,61,13,0,0,0,1,0,0,0,0,0
13,1,20,5,20,18,30,40,11,9,3,6,26,23,55,13,0,0,0,0,1,0,0,0,2
13,1,12,11,20,18,23,40,11,6,5,7,30,34,39,33,0,0,0,0,1,0,0,0,0
