Day,Month,Hour,League_Rank_1,League_Rank_2,Total_teams,Games_played_1,Games_played_2,Points_1,Points_2,Max_points,Min_points,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Win_Perc_1,Win_Perc_2,Draw_Perc_1,Draw_Perc_2,Avrage_FT_Goal,Average_HT_Goal,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Tue,Weekday_Wed,Result
4,11,14,10,20,20,12,12,15,7,36,7,4,3,5,1,4,7,19,7,17,24,33,33,22,44,3.0,0.83,0,0,0,1,0,0,Home
3,11,16,4,8,20,11,11,20,14,36,7,6,2,3,4,2,5,18,13,13,14,73,49,0,37,3.83,2.33,0,0,1,0,0,0,Draw
4,11,20,3,5,20,12,12,23,20,36,7,6,5,1,6,2,4,17,22,7,18,77,44,22,44,2.5,1.33,0,0,0,1,0,0,Home
11,11,14,12,16,20,12,12,15,11,36,7,4,3,5,2,5,5,14,11,15,16,68,8,8,42,2.16,0.83,0,0,0,1,0,0,Draw
3,11,19,8,19,20,12,12,17,7,36,7,4,5,3,1,4,7,8,12,10,18,14,14,55,69,2.83,1.5,0,0,1,0,0,0,Home
10,11,19,5,8,20,12,12,20,17,36,7,5,5,2,4,5,3,17,8,17,10,49,25,37,49,3.33,0.5,0,0,1,0,0,0,Home
25,11,16,6,4,20,14,14,23,26,42,7,7,2,5,8,2,4,12,21,14,12,60,40,0,40,3.16,1.66,0,0,0,1,0,0,Home
4,11,16,5,15,20,12,12,20,12,36,7,5,5,2,3,3,6,15,14,15,17,61,25,37,13,1.66,0.66,0,0,0,1,0,0,Home
10,11,19,15,3,20,12,12,12,25,36,7,3,3,6,7,4,1,16,20,19,7,0,40,40,40,2.33,1.0,0,0,1,0,0,0,Home
24,11,19,10,13,20,13,13,16,15,39,7,4,4,5,4,3,6,20,17,18,19,30,30,30,30,2.16,0.5,0,0,1,0,0,0,Draw
9,11,19,17,5,20,13,13,13,23,28,5,4,1,8,7,2,4,11,17,16,13,34,34,42,8,3.16,1.66,1,0,0,0,0,0,Draw
30,11,19,6,10,20,14,14,23,17,42,7,6,5,3,4,5,5,19,21,18,19,77,42,8,26,2.0,1.0,1,0,0,0,0,0,Home
24,11,19,18,12,20,14,14,12,17,42,7,3,3,8,4,5,5,12,14,23,15,30,50,30,40,2.83,0.83,0,0,1,0,0,0,Draw
24,11,19,7,20,20,14,14,20,7,42,7,5,5,4,1,4,9,9,9,12,29,22,22,55,33,2.5,1.16,0,0,1,0,0,0,Home
10,11,14,18,4,20,13,13,12,26,31,5,3,3,7,8,2,3,17,20,26,7,44,77,33,11,1.66,0.83,0,0,1,0,0,0,Home
2,11,19,15,12,20,13,13,13,15,28,5,3,4,6,4,3,6,13,13,18,22,20,60,20,30,2.5,1.16,1,0,0,0,0,0,Away
2,11,19,20,10,20,13,13,5,18,28,5,1,2,10,4,6,3,4,15,19,11,34,34,17,59,2.5,0.5,1,0,0,0,0,0,Away
23,11,19,6,15,20,14,14,24,15,31,5,7,3,4,3,6,5,17,11,13,18,27,27,55,46,2.5,1.33,1,0,0,0,0,0,Away
9,11,19,11,7,20,13,13,18,22,28,5,4,6,3,7,1,5,15,19,11,17,31,31,24,55,3.33,1.66,1,0,0,0,0,0,Home
9,11,19,6,16,20,13,13,23,13,28,5,7,2,4,3,4,6,17,13,13,18,59,42,17,17,2.0,1.0,1,0,0,0,0,0,Home
30,11,19,2,17,20,15,15,31,14,34,8,9,4,2,3,5,7,28,13,15,20,71,24,31,31,2.83,1.33,1,0,0,0,0,0,Home
23,11,19,8,2,20,14,14,22,30,31,5,7,1,6,9,3,2,19,28,20,15,44,73,7,29,1.66,1.16,1,0,0,0,0,0,Draw
23,11,19,17,16,20,14,14,14,14,31,5,4,2,8,4,2,8,11,11,17,16,27,37,18,37,2.5,0.83,1,0,0,0,0,0,Away
23,11,19,18,9,20,14,14,13,21,31,5,3,4,7,5,6,3,13,18,20,11,31,31,55,24,3.0,1.16,1,0,0,0,0,0,Draw
9,11,19,13,9,20,13,13,15,19,28,5,4,3,6,6,1,6,13,16,22,13,30,60,20,11,2.66,2.0,1,0,0,0,0,0,Home
9,11,19,10,15,20,13,13,19,14,28,5,5,4,4,4,2,7,14,9,12,14,51,34,42,26,2.33,1.16,1,0,0,0,0,0,Home
30,11,19,8,20,20,15,15,23,8,34,8,7,2,6,2,2,11,19,6,20,21,44,22,22,15,4.5,1.5,1,0,0,0,0,0,Away
9,12,16,2,12,20,16,16,30,21,44,9,9,3,4,5,6,5,24,10,14,14,51,37,15,37,2.5,0.66,0,0,0,1,0,0,Draw
1,12,16,4,3,20,15,15,27,28,42,8,8,3,4,8,4,3,23,26,14,18,37,73,9,18,2.0,1.33,0,0,1,0,0,0,Draw
22,12,21,1,13,20,16,16,44,20,44,8,14,2,0,5,5,6,49,24,10,24,73,44,29,29,3.16,1.33,0,0,1,0,0,0,Home
4,12,20,2,4,20,15,15,29,27,43,8,8,5,2,8,3,4,24,23,11,14,47,55,31,8,2.66,1.33,0,0,0,0,1,0,Away
2,12,20,12,1,20,14,14,17,42,42,8,4,5,5,14,0,0,14,46,15,7,50,90,40,11,3.5,2.0,0,0,0,1,0,0,Draw
22,12,21,2,15,20,18,17,34,18,44,8,10,4,4,4,6,7,28,15,17,26,58,19,13,39,2.33,1.33,0,0,1,0,0,0,Away
22,12,21,19,20,20,17,17,13,8,44,8,3,4,10,1,5,11,16,12,27,34,27,7,27,41,4.66,2.33,0,0,1,0,0,0,Away
16,12,21,4,19,20,16,16,28,13,44,8,8,4,4,3,4,9,26,16,20,24,59,29,22,29,4.83,3.16,0,0,0,1,0,0,Home
22,12,21,14,6,20,16,16,18,26,44,8,4,6,6,8,2,6,19,29,21,25,22,44,37,22,2.16,1.0,0,0,1,0,0,0,Draw
1,12,19,20,7,20,15,15,8,24,42,8,1,5,9,7,3,5,10,12,30,14,0,51,51,17,3.16,1.5,0,0,1,0,0,0,Draw
5,12,18,11,6,20,15,15,18,26,43,8,4,6,5,7,5,3,16,22,17,18,59,42,26,34,3.83,1.83,0,0,0,0,0,1,Home
5,12,18,13,5,20,15,15,17,26,43,8,4,5,6,8,2,5,21,27,22,22,39,63,24,31,2.33,1.0,0,0,0,0,0,1,Home
22,12,21,1,14,20,17,17,47,20,47,11,15,2,0,5,5,7,50,24,10,25,81,44,22,29,2.5,1.16,0,0,1,0,0,0,Home
22,12,21,4,3,20,16,17,29,31,44,8,8,5,3,9,4,4,24,29,12,20,52,64,39,26,3.16,2.33,0,0,1,0,0,0,Draw
21,12,20,6,20,20,18,18,31,12,41,12,8,7,3,3,3,12,17,13,10,31,42,18,42,18,4.5,0.83,1,0,0,0,0,0,Draw
21,12,20,7,2,20,18,18,31,37,41,12,9,4,5,11,4,3,20,34,15,17,42,68,30,30,2.83,1.33,1,0,0,0,0,0,Draw
22,12,15,3,15,20,18,18,32,18,41,13,9,5,4,4,6,8,26,17,14,24,61,30,25,37,3.5,2.16,0,0,1,0,0,0,Away
21,12,20,8,10,20,18,18,29,26,41,12,9,2,7,6,8,4,26,20,18,14,55,37,13,55,2.16,1.0,1,0,0,0,0,0,Away
