Day,Month,Hour,League_Rank_1,League_Rank_2,Total_teams,Games_played_1,Games_played_2,Points_1,Points_2,Max_points,Min_points,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Win_Perc_1,Win_Perc_2,Draw_Perc_1,Draw_Perc_2,Avrage_FT_Goal,Average_HT_Goal,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Result
23,12,18,19,9,20,16,16,10,22,37,8,2,4,10,6,4,6,15,27,31,30,16,55,31,31,3.16,2.0,0,0,0,1,0,0,0,Home
8,12,17,17,13,20,14,14,14,17,28,7,3,5,6,4,5,5,13,25,16,22,18,27,55,37,2.5,1.66,0,0,1,0,0,0,0,Away
16,12,16,12,8,20,15,15,21,22,31,7,6,3,6,6,4,5,17,16,20,17,31,47,31,24,2.5,0.66,0,0,0,1,0,0,0,Away
14,12,21,4,6,22,17,17,32,29,34,10,10,2,5,8,5,4,21,24,13,14,69,48,7,35,1.83,0.66,1,0,0,0,0,0,0,Home
8,12,12,2,13,22,16,16,31,20,33,10,8,7,1,5,5,6,26,16,10,18,55,31,47,39,3.0,1.66,0,0,1,0,0,0,0,Draw
1,12,17,4,2,22,16,16,29,31,33,10,9,2,5,9,4,3,19,24,12,12,37,55,37,18,1.66,0.33,0,0,1,0,0,0,0,Away
23,12,18,5,14,22,18,18,33,21,38,13,10,3,5,5,6,7,21,19,11,22,61,25,25,37,2.16,1.16,0,0,0,1,0,0,0,Draw
15,12,20,12,7,22,17,17,22,27,37,10,5,7,5,7,6,4,17,23,15,16,52,33,26,33,2.66,1.0,0,0,1,0,0,0,0,Home
15,12,18,13,5,22,17,17,21,31,37,10,5,6,6,8,7,2,18,25,20,15,39,33,39,33,2.33,0.83,0,0,1,0,0,0,0,Away
1,12,15,21,14,22,16,16,11,18,33,10,2,5,9,4,6,6,17,13,33,20,17,17,42,34,2.83,1.33,0,0,1,0,0,0,0,Draw
22,12,20,21,10,22,19,19,15,25,38,13,2,9,8,5,10,4,19,23,34,21,35,29,29,52,2.33,0.66,0,0,1,0,0,0,0,Home
22,12,13,14,9,22,18,18,20,25,37,13,5,5,8,6,7,5,18,18,20,15,33,33,33,33,3.0,1.5,0,0,1,0,0,0,0,Draw
4,5,19,7,12,20,38,38,58,49,93,20,17,7,14,14,7,17,49,66,58,59,61,37,30,25,2.66,1.16,1,0,0,0,0,0,0,Home
19,5,19,5,3,20,38,38,61,76,93,20,18,7,13,22,10,6,57,94,50,44,49,68,18,12,2.33,0.5,0,0,1,0,0,0,0,Draw
12,5,17,8,2,20,38,38,55,79,93,20,15,10,13,23,10,5,42,58,33,22,42,61,42,42,1.33,1.0,0,0,1,0,0,0,0,Away
12,5,19,3,13,20,38,38,76,49,93,20,22,10,6,13,10,15,94,59,44,60,55,30,13,42,4.5,1.0,0,0,1,0,0,0,0,Home
9,5,20,7,3,20,38,38,58,76,93,20,17,7,14,22,10,6,49,94,58,44,55,61,37,13,4.5,2.16,0,0,0,0,0,0,1,Home
9,5,18,1,5,20,38,38,93,61,93,20,28,9,1,18,7,13,99,57,29,50,80,55,12,13,3.33,1.16,0,0,0,0,0,0,1,Home
6,5,18,1,3,20,38,38,93,76,93,20,28,9,1,22,10,6,99,94,29,44,70,63,24,12,3.5,1.33,0,0,0,1,0,0,0,Draw
2,6,19,5,8,22,42,42,67,64,76,32,19,10,13,16,16,10,69,44,55,34,38,33,-11,12,2.16,1.16,0,0,1,0,0,0,0,Home
20,5,15,16,11,20,38,38,43,49,93,20,10,13,15,12,13,13,41,36,49,42,37,18,18,61,1.83,1.16,0,0,0,1,0,0,0,Away
