Day,Month,Hour,League_Rank_1,League_Rank_2,Total_teams,Games_played_1,Games_played_2,Points_1,Points_2,Max_points,Min_points,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Win_Perc_1,Win_Perc_2,Draw_Perc_1,Draw_Perc_2,Avrage_FT_Goal,Average_HT_Goal,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Tue,Weekday_Wed,Result
25,11,14,13,7,18,11,11,13,17,30,8,3,4,4,5,2,4,15,19,19,19,13,73,37,13,3.0,1.5,0,0,0,1,0,0,Draw
10,11,14,10,12,18,10,10,13,12,24,5,3,4,3,3,3,4,14,7,16,11,25,13,49,49,3.5,1.16,0,0,1,0,0,0,Away
10,11,14,15,18,18,10,10,10,5,24,5,2,4,4,1,2,7,11,6,22,24,25,25,37,25,2.83,1.33,0,0,1,0,0,0,Away
3,11,14,13,16,18,10,10,10,6,24,5,3,1,6,1,3,6,7,12,12,20,41,27,14,0,2.66,1.0,0,0,1,0,0,0,Home
5,11,19,3,2,18,11,11,21,21,22,7,6,3,2,6,3,2,13,24,11,16,44,66,33,22,2.66,1.16,0,1,0,0,0,0,Home
2,11,17,11,16,18,11,11,15,9,21,6,4,3,4,2,3,6,13,12,11,17,27,27,27,37,1.5,0.66,1,0,0,0,0,0,Home
24,11,12,7,13,18,14,14,20,17,27,8,5,5,4,5,2,7,22,14,16,18,46,9,27,9,3.5,2.33,0,0,1,0,0,0,Home
23,11,17,14,16,18,13,13,13,10,27,8,3,4,6,2,4,7,16,12,21,20,37,37,37,37,4.0,2.16,1,0,0,0,0,0,Away
9,11,17,16,17,18,12,12,9,9,24,7,2,3,7,2,3,7,13,12,20,20,18,46,55,37,2.5,0.83,1,0,0,0,0,0,Draw
10,11,12,2,6,18,12,12,22,19,24,7,7,1,4,5,4,3,18,19,17,13,46,27,18,46,2.16,0.83,0,0,1,0,0,0,Draw
30,11,17,7,14,18,14,14,21,13,28,8,5,6,3,3,4,7,31,16,25,22,42,26,42,42,3.5,1.0,1,0,0,0,0,0,Draw
16,11,18,6,1,18,18,18,26,39,39,9,6,8,4,11,6,1,26,35,19,16,42,73,30,30,3.16,1.66,1,0,0,0,0,0,Draw
4,11,12,14,5,18,12,12,15,19,21,7,4,3,5,6,1,5,15,16,18,17,27,37,46,18,1.83,0.5,0,0,0,1,0,0,Away
9,11,18,3,7,18,18,19,32,29,36,16,8,8,2,8,5,6,37,22,23,22,64,52,33,26,4.0,2.0,1,0,0,0,0,0,Away
9,11,18,5,8,18,20,20,35,28,44,14,11,2,7,8,4,8,33,32,27,28,47,40,40,29,3.66,2.16,1,0,0,0,0,0,Home
9,11,18,9,1,16,14,14,17,42,42,5,4,5,5,14,0,0,26,55,37,7,37,73,29,15,6.0,2.5,1,0,0,0,0,0,Away
4,11,12,8,13,18,12,12,17,15,21,7,4,5,3,4,3,5,18,12,13,14,37,27,46,18,2.5,0.66,0,0,0,1,0,0,Home
15,12,18,1,9,18,14,14,36,21,36,9,11,3,0,6,3,5,39,24,14,23,82,55,18,37,4.0,1.66,0,0,1,0,0,0,Home
21,12,20,1,2,18,16,16,39,33,39,11,12,3,1,10,3,3,42,35,17,16,71,71,24,24,4.33,2.16,1,0,0,0,0,0,Home
2,12,17,4,10,18,12,12,23,15,33,9,7,2,3,4,3,5,29,16,14,17,50,30,11,11,2.66,1.33,0,0,0,1,0,0,Away
22,12,18,5,3,18,16,16,27,33,42,11,8,3,5,10,3,3,34,33,20,18,55,55,8,24,3.66,1.5,0,0,1,0,0,0,Away
15,12,15,17,3,18,14,14,10,27,36,9,2,4,8,8,3,3,16,28,29,18,17,68,26,8,3.33,1.66,0,0,1,0,0,0,Away
8,12,14,12,1,18,13,13,14,33,33,9,4,2,7,10,3,0,14,37,18,13,37,64,18,27,3.5,1.16,0,0,1,0,0,0,Away
9,12,17,3,15,18,13,13,26,11,36,9,8,2,3,3,2,8,30,9,16,26,88,44,11,22,2.33,1.0,0,0,0,1,0,0,Home
23,12,15,15,6,18,16,16,15,25,42,11,3,6,7,7,4,5,23,24,26,20,14,48,35,27,1.66,0.83,0,0,0,1,0,0,Away
23,12,18,7,12,18,16,16,24,20,42,11,6,6,4,5,5,6,31,16,22,21,41,35,35,35,5.33,2.66,0,0,0,1,0,0,Draw
18,12,20,8,15,18,15,15,22,14,39,10,6,4,5,4,2,9,22,11,20,30,39,47,31,16,3.16,1.83,0,0,0,0,1,0,Home
18,12,20,7,14,18,15,15,23,14,39,10,6,5,4,3,5,7,23,21,22,24,39,16,31,31,1.5,0.5,0,0,0,0,1,0,Draw
8,12,14,4,15,18,13,13,24,11,33,9,7,3,3,2,5,6,25,14,18,30,64,9,18,46,2.5,1.33,0,0,1,0,0,0,Home
8,12,14,13,3,18,13,13,14,25,33,9,3,5,5,7,4,2,16,24,22,10,30,50,30,30,3.66,1.5,0,0,1,0,0,0,Home
16,12,18,5,11,18,14,14,23,18,39,10,7,2,5,5,3,6,30,20,17,25,51,26,17,26,3.16,1.0,0,0,0,1,0,0,Home
15,12,15,7,2,18,14,14,22,29,36,9,6,4,4,9,2,3,30,33,21,16,37,64,27,27,5.0,2.16,0,0,1,0,0,0,Draw
8,12,14,11,14,18,13,13,15,13,33,9,4,3,6,3,4,6,19,20,25,22,27,27,27,37,2.33,1.0,0,0,1,0,0,0,Home
8,12,17,8,5,18,13,13,20,23,33,9,5,5,3,7,2,4,21,30,20,16,34,42,42,17,3.0,1.0,0,0,1,0,0,0,Home
19,12,20,10,5,18,15,15,19,26,39,10,5,4,6,8,2,5,14,32,19,18,47,47,31,16,3.33,1.5,0,0,0,0,0,1,Draw
15,12,15,15,6,18,14,14,11,23,36,9,3,2,9,6,5,3,9,22,29,20,42,34,17,42,2.16,0.83,0,0,1,0,0,0,Home
15,12,15,14,13,18,14,14,13,14,36,9,3,4,7,4,2,8,20,15,23,20,17,42,42,26,3.0,1.33,0,0,1,0,0,0,Draw
9,12,14,10,17,18,13,13,18,9,36,9,5,3,5,2,3,8,12,15,14,28,27,18,27,18,2.0,1.33,0,0,0,1,0,0,Draw
8,12,14,8,6,18,13,13,18,21,33,9,5,3,5,6,3,4,18,28,18,19,55,55,11,22,2.5,1.0,0,0,1,0,0,0,Draw
22,12,15,10,8,18,16,16,21,24,39,11,6,3,7,6,6,4,23,25,28,24,35,41,41,20,3.83,2.33,0,0,1,0,0,0,Home
19,12,20,12,18,18,15,15,17,10,39,10,4,5,6,2,4,9,19,16,24,33,31,16,39,24,3.33,1.0,0,0,0,0,0,1,Draw
19,12,20,9,8,18,15,15,21,23,39,10,6,3,6,6,5,4,25,30,25,21,47,47,39,31,2.66,1.33,0,0,0,0,0,1,Draw
1,12,14,15,13,18,13,13,11,13,33,9,3,2,8,3,4,6,9,20,26,22,30,40,30,30,1.66,1.33,0,0,1,0,0,0,Home
